@relation cloud_risk

@attribute RC NUMERIC
@attribute IP NUMERIC
@attribute IAS NUMERIC
@attribute DS NUMERIC
@attribute TPM NUMERIC
@attribute RE NUMERIC
@attribute DB NUMERIC
@attribute DI NUMERIC
@attribute DT NUMERIC
@attribute DL NUMERIC
@attribute DLIS NUMERIC
@attribute SLA NUMERIC
@attribute AAC NUMERIC
@attribute IDD NUMERIC
@attribute BCSA NUMERIC
@attribute R NUMERIC
@attribute ShE NUMERIC
@attribute VV NUMERIC
@attribute risk_label {low,medium,high,very_high}

@data
0.374540,0.058551,0.502427,0.842945,1.227692,1.561465,1.972361,0.307490,0.019469,0.437224,2.172229,0.573106,0.748440,2.891423,1.789656,2.566422,2.379512,1.871277,medium
0.950714,0.334238,0.731486,0.445887,0.175435,0.430010,1.642247,0.266453,2.969169,0.689969,1.499951,1.897601,0.996710,2.891087,2.329962,2.653841,1.462070,1.116143,high
0.731994,0.784897,0.958118,0.708584,0.783074,1.431271,0.869960,0.408530,1.091817,1.854272,1.711712,1.656557,2.897655,1.615006,1.610978,2.727939,2.939151,2.764803,very_high
0.598658,0.707681,0.220446,0.731873,1.426643,1.600109,1.454585,1.533423,2.544284,0.202272,2.138717,1.757281,0.721876,2.619976,1.534065,2.139142,2.320352,1.633988,high
0.156019,0.788615,0.886182,0.173964,1.318846,0.692214,0.539123,0.590754,1.604900,1.394171,2.332725,0.907366,2.704936,2.187888,2.627477,2.733892,1.394392,2.284921,very_high
0.155995,0.517269,0.934304,0.361216,1.249401,0.345218,0.200339,0.042778,0.391318,1.828385,0.814550,1.919531,1.741595,2.950969,2.960757,2.020060,2.500980,2.214867,high
0.058084,0.440199,0.916421,0.637302,0.565082,0.005264,0.704862,1.888349,2.392697,1.265575,0.440381,2.488478,0.369889,1.955227,2.547607,2.214120,1.347428,2.168974,medium
0.866176,0.147453,0.635414,0.070697,0.756050,0.901807,0.805946,0.339427,2.129481,0.057379,0.875384,2.994214,1.401937,2.549414,2.047353,2.517440,1.126770,2.051424,medium
0.601115,0.328193,0.629821,0.361540,0.205892,0.704865,0.033074,0.019116,1.582308,2.956558,1.522615,2.515333,2.845646,2.536274,1.885022,1.850871,2.055107,1.362880,high
0.708073,0.434019,0.403211,0.534799,1.438046,1.109820,1.629584,0.474263,1.543659,1.101347,1.026424,1.672496,1.255697,1.994866,2.079295,1.147163,2.107048,1.561211,low
0.020584,0.088600,0.752398,0.996224,1.007778,0.376082,0.718387,0.470058,0.262439,2.335732,1.705088,0.580289,2.590160,2.591260,1.925679,1.700333,1.377931,2.048376,medium
0.969910,0.220612,0.531294,0.474534,1.417531,1.719331,1.160836,0.844011,1.967547,0.976939,0.160397,2.044338,0.769286,1.522081,2.005776,2.247888,1.696758,2.578685,medium
0.832443,0.598225,0.677438,0.816057,0.497887,0.515510,0.147926,1.840780,2.733735,1.425050,1.529251,2.812961,1.712766,1.244506,1.406906,1.384665,2.891539,1.863978,high
0.212339,0.735663,0.428458,0.432067,0.648876,0.452859,0.349994,1.758370,0.279735,1.165391,1.103955,0.635600,2.531556,1.850327,2.807484,1.296771,1.570006,1.407845,low
0.181825,0.998348,0.731496,0.796391,0.668431,0.961428,1.779387,0.913789,0.790534,1.027618,1.604000,0.767987,2.762065,2.887261,2.509070,1.586161,1.311136,1.175889,medium
0.183405,0.933113,0.824472,0.595415,0.051485,0.997702,1.217375,0.821800,2.706924,0.065554,1.267600,0.447026,1.457470,2.001489,2.361955,1.064223,2.985124,2.326022,medium
0.304242,0.642565,0.146436,0.886595,0.682096,0.430170,1.900568,1.110018,0.853032,1.080063,0.852678,2.210165,1.919064,2.270518,2.899850,2.486846,1.604611,1.846680,high
0.524756,0.421248,0.832930,0.410943,1.606609,0.543721,1.997500,0.486908,1.961831,2.668470,2.712324,1.219685,0.008940,2.248325,1.568789,1.517431,2.360507,1.250742,high
0.431945,0.636177,0.540297,0.604304,1.794597,0.339410,0.743720,0.104370,1.604454,2.071180,0.554295,0.188087,0.759670,1.265146,1.162319,1.248477,1.463120,2.348934,low
